userid,name,email,password,remember_token,created_at,updated_at,provider,provider_id,registered_at,api_token,displayname
1,Superadministrator,superadministrator@app.com,$2y$12$HEx0ptd1He5rotAtdmNx1.bmBZ8eV20M5.r2MyhFVgLel07t1OyVC,uWDLwrwVVFtEoICx1zT3qkN81NKeGjOUimTBNIeI0xsMd3pTcfd1l2frrk8s,2018-11-25 02:19:52,2018-11-25 02:19:52,NULL,NULL,2018-11-25 02:19:52,e57w9AtCpSV2qqsXfQ5UUsyz3f02nWssEAGGnhZXaJVoqjr2Hdv87lVH1JAE,
2,Administrator,administrator@app.com,$2y$10$pmIu7z1uVDNyHucpjcBTbub8HDUc3y9VJ0c0dHjaLlPKsbfzIFjym,NULL,2018-11-25 02:19:53,2018-11-25 02:19:53,NULL,NULL,2018-11-25 02:19:53,oEIAQekHrJ8wnPtKcU9i985b6FnKdFM2qGjzrOSzN3QnlQ3Cto5t1mVEzmFM,
3,User,user@app.com,$2y$10$mlF9xrT5ewrNTXO4.5/.bumsCksH5JYucYS6NtKI9s9Oo/9WtXHsq,NULL,2018-11-25 02:19:53,2018-11-25 02:19:53,NULL,NULL,2018-11-25 02:19:53,NWKdnUtvlgM6KQqTJKv3SnP5WKQnzEjEAti8b4H5cq7x950oLhbXvVLWeWRp,
4,Cru User,cru_user@app.com,$2y$10$Bx9/v7wuJ/iaUtsKC27DHOslD.hzfR66rrNNnJkjFJ4hLwzTKV5Mq,xkOkNYT6KH,2018-11-25 02:19:53,2018-11-25 02:19:53,NULL,NULL,2018-11-25 02:19:53,ReddP2Hn2cF7cdhap3ORYHKiNSLMRwjEcQEFBrAL8Y4MjypnHbv7EcvFCLxX,
8,CEO,ceo@app.com,$2y$12$HEx0ptd1He5rotAtdmNx1.bmBZ8eV20M5.r2MyhFVgLel07t1OyVC,pgNso03eotC50frxkVpP6Dxehvz39kFOXfRCIVMRj3y414Sw6HJqBPXBkbZa,2018-12-01 04:51:07,2018-12-01 04:51:07,NULL,NULL,2018-12-01 04:51:07,cm5UhLan6UkGQVR5y8Uh37oALBWTabkhZ2QZYoFYGkPpHj6aEpmS75t3qt0z,
9,esuperadmin,esuperadmin@gmail.com,$2y$10$DRAVhPcPj1N/ajlfu3e2X.vubdKbxRcWLRQTMf9Mbl76Y2nBdZlIW,NULL,2018-12-01 10:13:53,2018-12-01 10:13:53,NULL,NULL,2018-12-01 10:13:53,BNFT3CxsLezWGlCOZfb8Ui3HzgPbihwvrYgDX83GG4594KzkzLAqSowddwEm,
10,Returning Officer,ro@app.com,$2y$12$HEx0ptd1He5rotAtdmNx1.bmBZ8eV20M5.r2MyhFVgLel07t1OyVC,E1jNuOGSOY8cSvcrJ4zJD0T43ng23c4HMDrSnKCI7RWKhJFXYATYH1Keiksc,2018-12-10 01:38:20,2018-12-10 01:38:20,NULL,NULL,2018-12-10 01:38:20,kYgwt8kXWOI08Qz0TQOxqFoPEMCTv7zMjJ1hU8HhIDdfzOAe02BYoX8LYsqx,
11,Presiding officer,po@app.com,$2y$10$b1sOOKkBYWxvgPFZm7zj6.jeUrTg1iMUtZqzHpF6eacWveyDtaYNK,0xYEP1SS0b0gbufkOXF9BKLdcTk3IOtYS0eumHHGjCqlFLuHQ9w45mcdwndY,2018-12-11 06:53:29,2018-12-11 06:53:29,NULL,NULL,2018-12-11 06:53:29,UZNKVAl2H18zlsd6l91gMlbtq8DzoZbIlS1FgGfTnnbmmgoiNk0WYc8whXfr,
157,342325,5345543@app.com,$2y$10$hjnW3U788zev5Db/7ymiXOaXSRlVGBfQUVgHemAEnkZsWAWLLCCbq,NULL,2018-12-12 11:27:54,2018-12-12 11:27:54,,5345543@app.com,2018-12-12 11:27:54,2LuQ3SY2MY7ilUzJQCQwfNx5l7ua7xRQFAvi47lwEXnkbddxTafuSYwNrqVh,
158,235235,3453234@app.com,$2y$10$aln8flfbd7yb9uijwWPBWOwXLR2fxx0IFMxFiGIJtmWpQNv.Y4Ol.,NULL,2018-12-12 11:27:55,2018-12-12 11:27:55,,3453234@app.com,2018-12-12 11:27:55,Uj0LxOKZgsE6qx7F9Ql3jAzR7pHo5VrC1TDFjCm06TJT4SIXegT2CYVTCVwz,
